date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction
1985/1/25 1:00,,,,,,0,,,,,
1985/1/25 2:00,,,,,,0,,,,,
1985/1/25 3:00,8,,,,1.3,0,,,,8,ñkñkêº
1985/1/25 4:00,,,,,,0,,,,,
1985/1/25 5:00,,,,,,0,,,,,
1985/1/25 6:00,10-,,,,1,0,,,,8.8,ñkñkêº
1985/1/25 7:00,,,,,,0,,,,,
1985/1/25 8:00,,,,,,0,,,,,
1985/1/25 9:00,10-,,,,1.8,0,,,,8.1,ñkñkêº
1985/1/25 10:00,,,,,,0,,,,,
1985/1/25 11:00,,,,,,0,,,,,
1985/1/25 12:00,0+,,,,5,0,,,,7.4,ñkñkêº
1985/1/25 13:00,,,,,,0,,,,,
1985/1/25 14:00,,,,,,0,,,,,
1985/1/25 15:00,2,,,,5.6,0,,,,6.6,ñkñkêº
1985/1/25 16:00,,,,,,0,,,,,
1985/1/25 17:00,,,,,,0,,,,,
1985/1/25 18:00,0+,,,,3.6,0,,,,3.2,ñk
1985/1/25 19:00,,,,,,0,,,,,
1985/1/25 20:00,,,,,,0,,,,,
1985/1/25 21:00,0+,,,,2.1,0,,,,4.3,ñkñkêº
1985/1/25 22:00,,,,,,0,,,,,
1985/1/25 23:00,,,,,,0,,,,,
1985/1/26 0:00,0,,,,0.6,0,,,,1.8,ñk
1986/1/25 1:00,,,,,,0,,,,,
1986/1/25 2:00,,,,,,0,,,,,
1986/1/25 3:00,8,,,,1.1,0,,,,1.8,êºìÏêº
1986/1/25 4:00,,,,,,0,,,,,
1986/1/25 5:00,,,,,,0,,,,,
1986/1/25 6:00,0,,,,0.6,0,,,,1.9,ñkñkêº
1986/1/25 7:00,,,,,,0,,,,,
1986/1/25 8:00,,,,,,0,,,,,
1986/1/25 9:00,1,,,,2,0,,,,4.4,ñkñkêº
1986/1/25 10:00,,,,,,0,,,,,
1986/1/25 11:00,,,,,,0,,,,,
1986/1/25 12:00,1,,,,6.1,0,,,,3.2,ñkñkêº
1986/1/25 13:00,,,,,,0,,,,,
1986/1/25 14:00,,,,,,0,,,,,
1986/1/25 15:00,2,,,,6.3,0,,,,1.7,ñkñkêº
1986/1/25 16:00,,,,,,0,,,,,
1986/1/25 17:00,,,,,,0,,,,,
1986/1/25 18:00,0+,,,,5.6,0,,,,1.2,ìåñkìå
1986/1/25 19:00,,,,,,0,,,,,
1986/1/25 20:00,,,,,,0,,,,,
1986/1/25 21:00,0,,,,2.8,0,,,,3.3,ñkñkìå
1986/1/25 22:00,,,,,,0,,,,,
1986/1/25 23:00,,,,,,0,,,,,
1986/1/26 0:00,0,,,,2,0,,,,2.9,ñkñkêº
1987/1/25 1:00,,,,,,0,,,,,
1987/1/25 2:00,,,,,,0,,,,,
1987/1/25 3:00,4,,,,4.8,0,,,,5.7,ñk
1987/1/25 4:00,,,,,,0,,,,,
1987/1/25 5:00,,,,,,0,,,,,
1987/1/25 6:00,10-,,,,3.7,0,,,,5.6,ñkñkêº
1987/1/25 7:00,,,,,,0,,,,,
1987/1/25 8:00,,,,,,0,,,,,
1987/1/25 9:00,10-,,,,4.1,0,,,,3.7,ñkñkìå
1987/1/25 10:00,,,,,,0,,,,,
1987/1/25 11:00,,,,,,0,,,,,
1987/1/25 12:00,9,,,,5.6,0,,,,5.4,ñk
1987/1/25 13:00,,,,,,0,,,,,
1987/1/25 14:00,,,,,,0,,,,,
1987/1/25 15:00,9,,,,6.5,0,,,,6.1,ñkêº
1987/1/25 16:00,,,,,,0,,,,,
1987/1/25 17:00,,,,,,0,,,,,
1987/1/25 18:00,1,,,,4.4,0,,,,6.2,ñkñkêº
1987/1/25 19:00,,,,,,0,,,,,
1987/1/25 20:00,,,,,,0,,,,,
1987/1/25 21:00,0,,,,2.1,0,,,,4.1,ñkñkêº
1987/1/25 22:00,,,,,,0,,,,,
1987/1/25 23:00,,,,,,0,,,,,
1987/1/26 0:00,0,,,,1.5,0,,,,4,ñkêº
1988/1/25 1:00,,,,,,0,,,,,
1988/1/25 2:00,,,,,,0,,,,,
1988/1/25 3:00,0,,,,4.1,0,,,,3.3,ñkìå
1988/1/25 4:00,,,,,,0,,,,,
1988/1/25 5:00,,,,,,0,,,,,
1988/1/25 6:00,0,,,,1.7,0,,,,1,êºìÏêº
1988/1/25 7:00,,,,,,0,,,,,
1988/1/25 8:00,,,,,,0,,,,,
1988/1/25 9:00,0+,,,,5.8,0,,,,1.2,ìÏìå
1988/1/25 10:00,,,,,,0,,,,,
1988/1/25 11:00,,,,,,0,,,,,
1988/1/25 12:00,7,,,,8.6,0,,,,2.5,ìÏìå
1988/1/25 13:00,,,,,,0,,,,,
1988/1/25 14:00,,,,,,0,,,,,
1988/1/25 15:00,2,,,,10.7,0,,,,3.5,ìÏ
1988/1/25 16:00,,,,,,0,,,,,
1988/1/25 17:00,,,,,,0,,,,,
