date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction,
1985/1/28 1:00,,,,,,0,,,,,,
1985/1/28 2:00,,,,,,0,,,,,,
1985/1/28 3:00,10,,,,2.1,0,,,,,3.6,ñkñkêº
1985/1/28 4:00,,,,,,0,,,,,,
1985/1/28 5:00,,,,,,0.5,,,,,,
1985/1/28 6:00,10,,,,1.1,3,,,,,1.6,ñkìå
1985/1/28 7:00,,,,,,1,,,,,,
1985/1/28 8:00,,,,,,0,,,,,,
1985/1/28 9:00,10,,,,1.7,0,,,,,,
1985/1/28 10:00,,,,,,0,,,,,,
1985/1/28 11:00,,,,,,0,,,,,,
1985/1/28 12:00,0+,,,,6.1,0,,,,,1.3,êº
1985/1/28 13:00,,,,,,0,,,,,,
1985/1/28 14:00,,,,,,0,,,,,,
1985/1/28 15:00,2,,,,11.8,0,,,,,0.7,ñkñkêº
1985/1/28 16:00,,,,,,0,,,,,,
1985/1/28 17:00,,,,,,0,,,,,,
1985/1/28 18:00,0+,,,,10.1,0,,,,,4.2,ñkñkêº
1985/1/28 19:00,,,,,,0,,,,,,
1985/1/28 20:00,,,,,,0,,,,,,
1985/1/28 21:00,4,,,,7.4,0,,,,,4.9,ñk
1985/1/28 22:00,,,,,,0,,,,,,
1985/1/28 23:00,,,,,,0,,,,,,
1985/1/29 0:00,9,,,,4.9,0,,,,,3.5,ñk
1986/1/28 1:00,,,,,,0,,,,,,
1986/1/28 2:00,,,,,,0,,,,,,
1986/1/28 3:00,9,,,,0.6,0,,,,,3.8,ñkñkêº
1986/1/28 4:00,,,,,,0,,,,,,
1986/1/28 5:00,,,,,,0,,,,,,
1986/1/28 6:00,8,,,,1.1,0,,,,,2.7,ñkñkêº
1986/1/28 7:00,,,,,,0,,,,,,
1986/1/28 8:00,,,,,,0,,,,,,
1986/1/28 9:00,5,,,,1.7,0,,,,,1.7,ñkñkêº
1986/1/28 10:00,,,,,,0,,,,,,
1986/1/28 11:00,,,,,,0,,,,,,
1986/1/28 12:00,0,,,,5.6,0,,,,,4.1,ìÏìÏìå
1986/1/28 13:00,,,,,,0,,,,,,
1986/1/28 14:00,,,,,,0,,,,,,
1986/1/28 15:00,0+,,,,7.5,0,,,,,2.2,ìÏêº
1986/1/28 16:00,,,,,,0,,,,,,
1986/1/28 17:00,,,,,,0,,,,,,
1986/1/28 18:00,5,,,,8.2,0,,,,,3.6,ñkñkêº
1986/1/28 19:00,,,,,,0,,,,,,
1986/1/28 20:00,,,,,,0,,,,,,
1986/1/28 21:00,0,,,,4.4,0,,,,,6.8,ñkñkêº
1986/1/28 22:00,,,,,,0,,,,,,
1986/1/28 23:00,,,,,,0,,,,,,
1986/1/29 0:00,0,,,,2.3,0,,,,,2.8,ñkñkìå
1987/1/28 1:00,,,,,,0,,,,,,
1987/1/28 2:00,,,,,,0,,,,,,
1987/1/28 3:00,0,,,,3.4,0,,,,,2.5,ñkñkêº
1987/1/28 4:00,,,,,,0,,,,,,
1987/1/28 5:00,,,,,,0,,,,,,
1987/1/28 6:00,0,,,,3.7,0,,,,,3.1,ñkñkêº
1987/1/28 7:00,,,,,,0,,,,,,
1987/1/28 8:00,,,,,,0,,,,,,
1987/1/28 9:00,0,,,,6.9,0,,,,,3.6,ñkêº
1987/1/28 10:00,,,,,,0,,,,,,
1987/1/28 11:00,,,,,,0,,,,,,
1987/1/28 12:00,0,,,,10.1,0,,,,,3.1,ñkñkêº
1987/1/28 13:00,,,,,,0,,,,,,
1987/1/28 14:00,,,,,,0,,,,,,
1987/1/28 15:00,0,,,,11.4,0,,,,,0.5,ñkñkìå
1987/1/28 16:00,,,,,,0,,,,,,
1987/1/28 17:00,,,,,,0,,,,,,
1987/1/28 18:00,0,,,,10,0,,,,,2.4,ìÏêº
1987/1/28 19:00,,,,,,0,,,,,,
1987/1/28 20:00,,,,,,0,,,,,,
1987/1/28 21:00,0,,,,8.4,0,,,,,3.4,ñkñkêº
1987/1/28 22:00,,,,,,0,,,,,,
1987/1/28 23:00,,,,,,0,,,,,,
1987/1/29 0:00,0,,,,6.8,0,,,,,3,ñkñkêº
1988/1/28 1:00,,,,,,0,,,,,,
1988/1/28 2:00,,,,,,0,,,,,,
1988/1/28 3:00,0,,,,4.4,0,,,,,1.2,ñkêº
1988/1/28 4:00,,,,,,0,,,,,,
1988/1/28 5:00,,,,,,0,,,,,,
1988/1/28 6:00,0,,,,6.1,0,,,,,3.8,ìÏ
1988/1/28 7:00,,,,,,0,,,,,,
1988/1/28 8:00,,,,,,0,,,,,,
1988/1/28 9:00,0,,,,7.1,0,,,,,2.4,êºìÏêº
1988/1/28 10:00,,,,,,0,,,,,,
1988/1/28 11:00,,,,,,0,,,,,,
1988/1/28 12:00,3,,,,11.2,0,,,,,3.1,ñkêº
1988/1/28 13:00,,,,,,0,,,,,,
1988/1/28 14:00,,,,,,0,,,,,,
1988/1/28 15:00,4,,,,12,0,,,,,3.8,ñk
1988/1/28 16:00,,,,,,0,,,,,,
1988/1/28 17:00,,,,,,0,,,,,,
1988/1/28 18:00,2,,,,10.3,0,,,,,3.3,ñkñkìå
1988/1/28 19:00,,,,,,0,,,,,,
1988/1/28 20:00,,,,,,0,,,,,,
1988/1/28 21:00,1,,,,8.5,0,,,,,1.7,ìåñkìå
1988/1/28 22:00,,,,,,0,,,,,,
1988/1/28 23:00,,,,,,0,,,,,,
1988/1/29 0:00,0,,,,6.2,0,,,,,1.8,ñkñkêº
1989/1/28 1:00,,,,,,0,,,,,,
1989/1/28 2:00,,,,,,0,,,,,,
1989/1/28 3:00,0,,,,3.8,0,,,,,5.3,ñkñkêº
1989/1/28 4:00,,,,,,0,,,,,,
