date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction
1985/1/28 1:00,,,,,,2,,,,,
1985/1/28 2:00,,,,,,0,,,,,
1985/1/28 3:00,10,,,,4.4,0,,,,3.9,ñkñkìå
1985/1/28 4:00,,,,,,0.5,,,,,
1985/1/28 5:00,,,,,,0,,,,,
1985/1/28 6:00,10,,,,5.2,0,,,,1.5,ìÏ
1985/1/28 7:00,,,,,,0,,,,,
1985/1/28 8:00,,,,,,0,,,,,
1985/1/28 9:00,10-,,,,7.6,0,,,,1.7,ìÏêº
1985/1/28 10:00,,,,,,0,,,,,
1985/1/28 11:00,,,,,,0,,,,,
1985/1/28 12:00,10-,,,,8.5,0,,,,5.3,êºìÏêº
1985/1/28 13:00,,,,,,0,,,,,
1985/1/28 14:00,,,,,,0,,,,,
1985/1/28 15:00,6,,,,9,0,,,,7,êºìÏêº
1985/1/28 16:00,,,,,,0,,,,,
1985/1/28 17:00,,,,,,0,,,,,
1985/1/28 18:00,8,,,,6.8,0,,,,2.9,ñkñkêº
1985/1/28 19:00,,,,,,0,,,,,
1985/1/28 20:00,,,,,,0,,,,,
1985/1/28 21:00,3,,,,4,0,,,,3.4,ñk
1985/1/28 22:00,,,,,,0,,,,,
1985/1/28 23:00,,,,,,0,,,,,
1985/1/29 0:00,10-,,,,3.8,0,,,,0.9,êº
1986/1/28 1:00,,,,,,0,,,,,
1986/1/28 2:00,,,,,,0,,,,,
1986/1/28 3:00,0+,,,,1.4,0,,,,5,êºìÏêº
1986/1/28 4:00,,,,,,0,,,,,
1986/1/28 5:00,,,,,,0,,,,,
1986/1/28 6:00,9,,,,0,0,,,,2.7,ìÏìå
1986/1/28 7:00,,,,,,0,,,,,
1986/1/28 8:00,,,,,,0,,,,,
1986/1/28 9:00,10-,,,,1.6,0,,,,1.6,ñkñkìå
1986/1/28 10:00,,,,,,0,,,,,
1986/1/28 11:00,,,,,,0,,,,,
1986/1/28 12:00,3,,,,5.5,0,,,,9.2,êºìÏêº
1986/1/28 13:00,,,,,,0,,,,,
1986/1/28 14:00,,,,,,0,,,,,
1986/1/28 15:00,10-,,,,6,0,,,,7.5,êºìÏêº
1986/1/28 16:00,,,,,,0,,,,,
1986/1/28 17:00,,,,,,0,,,,,
1986/1/28 18:00,6,,,,6.3,0,,,,4.4,ñkêº
1986/1/28 19:00,,,,,,0,,,,,
1986/1/28 20:00,,,,,,0,,,,,
1986/1/28 21:00,3,,,,5.2,0,,,,5.2,êº
1986/1/28 22:00,,,,,,0,,,,,
1986/1/28 23:00,,,,,,0,,,,,
1986/1/29 0:00,2,,,,4,0,,,,3.5,êºñkêº
1987/1/28 1:00,,,,,,0,,,,,
1987/1/28 2:00,,,,,,0,,,,,
1987/1/28 3:00,0,,,,2.3,0,,,,0.3,ìåñkìå
1987/1/28 4:00,,,,,,0,,,,,
1987/1/28 5:00,,,,,,0,,,,,
1987/1/28 6:00,0,,,,2.1,0,,,,0.1,ê√â∏
1987/1/28 7:00,,,,,,0,,,,,
1987/1/28 8:00,,,,,,0,,,,,
1987/1/28 9:00,0+,,,,6,0,,,,2.6,êºìÏêº
1987/1/28 10:00,,,,,,0,,,,,
1987/1/28 11:00,,,,,,0,,,,,
1987/1/28 12:00,0+,,,,9.2,0,,,,5.4,ìÏêº
1987/1/28 13:00,,,,,,0,,,,,
1987/1/28 14:00,,,,,,0,,,,,
1987/1/28 15:00,1,,,,10.1,0,,,,6.1,êºìÏêº
1987/1/28 16:00,,,,,,0,,,,,
1987/1/28 17:00,,,,,,0,,,,,
1987/1/28 18:00,0+,,,,9,0,,,,4.6,êºìÏêº
1987/1/28 19:00,,,,,,0,,,,,
1987/1/28 20:00,,,,,,0,,,,,
1987/1/28 21:00,0,,,,6.6,0,,,,1.7,ìÏ
1987/1/28 22:00,,,,,,0,,,,,
1987/1/28 23:00,,,,,,0,,,,,
1987/1/29 0:00,2,,,,4.3,0,,,,2.1,ìÏìÏêº
1988/1/28 1:00,,,,,,0,,,,,
1988/1/28 2:00,,,,,,0,,,,,
1988/1/28 3:00,0+,,,,5.6,0,,,,4.1,êº
1988/1/28 4:00,,,,,,0,,,,,
1988/1/28 5:00,,,,,,0,,,,,
1988/1/28 6:00,2,,,,5.5,0,,,,5.4,êº
1988/1/28 7:00,,,,,,0,,,,,
1988/1/28 8:00,,,,,,0,,,,,
1988/1/28 9:00,10-,,,,7,0,,,,4.5,êº
1988/1/28 10:00,,,,,,0,,,,,
1988/1/28 11:00,,,,,,0,,,,,
1988/1/28 12:00,10,,,,8.2,0,,,,5.6,êº
1988/1/28 13:00,,,,,,0,,,,,
1988/1/28 14:00,,,,,,0,,,,,
1988/1/28 15:00,10-,,,,8.7,0,,,,3.2,ñkìå
1988/1/28 16:00,,,,,,0,,,,,
1988/1/28 17:00,,,,,,0,,,,,
1988/1/28 18:00,9,,,,7.9,0,,,,2.4,ìå
1988/1/28 19:00,,,,,,0,,,,,
1988/1/28 20:00,,,,,,0,,,,,
1988/1/28 21:00,0+,,,,5.6,0,,,,1.3,ìÏìå
1988/1/28 22:00,,,,,,0,,,,,
1988/1/28 23:00,,,,,,0,,,,,
1988/1/29 0:00,9,,,,3.9,0,,,,2.9,ñkñkìå
1989/1/28 1:00,,,,,,0,,,,,
1989/1/28 2:00,,,,,,0,,,,,
1989/1/28 3:00,1,,,,1.3,0,,,,4,ñkñkêº
1989/1/28 4:00,,,,,,0,,,,,
1989/1/28 5:00,,,,,,0,,,,,
1989/1/28 6:00,5,,,,1.5,0,,,,1.9,êº
1989/1/28 7:00,,,,,,0,,,,,
1989/1/28 8:00,,,,,,0,,,,,
1989/1/28 9:00,7,,,,3,0,,,,4.4,êº
1989/1/28 10:00,,,,,,0,,,,,
1989/1/28 11:00,,,,,,0,,,,,
1989/1/28 12:00,10-,,,,4.5,0,,,,5.9,ñkêº
1989/1/28 13:00,,,,,,0,,,,,
1989/1/28 14:00,,,,,,0,,,,,
1989/1/28 15:00,5,,,,3.6,0,,,,7.9,ñkñkêº
1989/1/28 16:00,,,,,,0,,,,,
1989/1/28 17:00,,,,,,0,,,,,
1989/1/28 18:00,9,,,,1.9,0,,,,4.3,ñkñkêº
1989/1/28 19:00,,,,,,0,,,,,
1989/1/28 20:00,,,,,,0,,,,,
1989/1/28 21:00,4,,,,1.1,0,,,,3.6,êºñkêº
1989/1/28 22:00,,,,,,0,,,,,
1989/1/28 23:00,,,,,,0,,,,,
1989/1/29 0:00,1,,,,0.7,0,,,,3,ñkêº
1990/1/28 1:00,,,,,,0,,,,,
1990/1/28 2:00,,,,,,0,,,,,
1990/1/28 3:00,0+,1,20,,0.5,0,,,,1.4,ñk
1990/1/28 4:00,,,,,,0,,,,,
1990/1/28 5:00,,,,,,0,,,,,
1990/1/28 6:00,5,2,15,,-0.5,0,,,,0.7,ìåìÏìå
1990/1/28 7:00,,,,0,,0,,,,,
1990/1/28 8:00,,,,0.19,,0,,,0.4,,
1990/1/28 9:00,1,1,15,0.68,3.5,0,,0,1,1.2,ñkìå
1990/1/28 10:00,,,,1.1,,0,,,1,,
1990/1/28 11:00,,,,1.53,,0,,,1,,
1990/1/28 12:00,9,3,20,1.61,6.1,0,,,0.9,2.1,ñkñkìå
1990/1/28 13:00,,,,1.73,,0,,,1,,
1990/1/28 14:00,,,,1.53,,0,,,1,,
1990/1/28 15:00,10-,3,25,0.98,7.2,0,,0,0.7,2.5,ìåñkìå
1990/1/28 16:00,,,,0.5,,0,,,0.1,,
1990/1/28 17:00,,,,0.18,,0,,,0,,
1990/1/28 18:00,10,4,20,0.03,6.1,0,,,0,3.4,ñkìå
1990/1/28 19:00,,,,,,0,,,,,
1990/1/28 20:00,,,,,,0,,,,,
1990/1/28 21:00,8,2,15,,5.2,0,,0,,2.5,ñkìå
1990/1/28 22:00,,,,,,0,,,,,
1990/1/28 23:00,,,,,,0,,,,,
1990/1/29 0:00,10-,4,15,,4.7,0,,,,2.1,ñkìå
1991/1/28 1:00,,,,,4.1,0,,,,3.1,ñkñkêº
1991/1/28 2:00,,,,,4,0,,,,3.3,ñkñkêº
1991/1/28 3:00,10-,4,20,,4,0,,,,3.1,ñkñkêº
1991/1/28 4:00,,,,,4,0,,,,3.4,ñk
1991/1/28 5:00,,,,,3.8,0,,,,4.3,ñkñkêº
1991/1/28 6:00,10-,4,20,,3.6,0,,,,1.6,ñkñkìå
1991/1/28 7:00,,,,0,3.3,0,,,0,4.1,ñkêº
1991/1/28 8:00,,,,0.19,4,0,,,0.4,2.7,êºñkêº
1991/1/28 9:00,4,2,20,0.66,4.1,0,,0,0.9,3.6,ñkêº
1991/1/28 10:00,,,,0.82,4.4,0,,,0.3,4.6,ñkêº
1991/1/28 11:00,,,,1.37,5.6,0,,,0.6,5.2,ñkêº
1991/1/28 12:00,6,2,40,1.84,6,0,,,0.8,6.1,ñkêº
1991/1/28 13:00,,,,1.84,5.4,0,,,0.7,7.9,ñkñkêº
1991/1/28 14:00,,,,1.91,6.7,0,,,0.9,5.8,ñkêº
1991/1/28 15:00,7,2,40,0.85,4.9,0,,0,0.3,4.8,ñk
1991/1/28 16:00,,,,0.74,5.2,0,,,0.6,6.8,ñkêº
1991/1/28 17:00,,,,0.4,4.9,0,,,0.7,4.6,ñkñkêº
1991/1/28 18:00,4,2,40,0.03,3.9,0,,,0,4.8,ñkñkêº
1991/1/28 19:00,,,,,3.7,0,,,,3.6,ñkñkêº
1991/1/28 20:00,,,,,3.5,0,,,,4.2,êºñkêº
1991/1/28 21:00,3,2,40,,2.9,0,,0,,3.1,ñk
1991/1/28 22:00,,,,,2.9,0,,,,4.3,ñkñkêº
1991/1/28 23:00,,,,,3.1,0,,,,2.8,ñkêº
1991/1/29 0:00,9,4,40,,3,0,,,,1.4,êº
1992/1/28 1:00,,,,,8.8,0,,,,2.5,êºìÏêº
1992/1/28 2:00,,,,,8,0,,,,1.3,ñkêº
1992/1/28 3:00,0,1,15,,5.5,0,,,,0.8,ìåñkìå
1992/1/28 4:00,,,,,5.8,0,,,,1.6,ìÏìå
1992/1/28 5:00,,,,,5,0,,,,0.3,ìÏêº
1992/1/28 6:00,0,1,10,,4.4,0,,,,0.6,ñkìå
1992/1/28 7:00,,,,0,4.4,0,,,,0.7,êºñkêº
1992/1/28 8:00,,,,0.17,5.9,0,,,0.2,0.9,ìÏ
1992/1/28 9:00,0,1,5,0.59,7.7,0,,0,1,0.9,ìÏìÏìå
1992/1/28 10:00,,,,1.02,10.2,0,,,1,2,ìÏêº
1992/1/28 11:00,,,,1.55,11.1,0,,,1,3.3,êºìÏêº
1992/1/28 12:00,0+,1,8,1.87,12.2,0,,,1,3.3,ìÏêº
1992/1/28 13:00,,,,1.99,11.7,0,,,1,5.2,ìÏêº
1992/1/28 14:00,,,,1.81,12.1,0,,,1,5.6,ìÏêº
1992/1/28 15:00,0,1,15,1.44,12.3,0,,0,1,5.5,ìÏêº
1992/1/28 16:00,,,,0.94,12.5,0,,,1,3.6,êºìÏêº
1992/1/28 17:00,,,,0.34,11.8,0,,,0.6,2.9,êºìÏêº
1992/1/28 18:00,1,1,15,0.03,11.6,0,,,0,3.3,ìÏêº
1992/1/28 19:00,,,,,11.4,0,,,,2.9,ìÏêº
1992/1/28 20:00,,,,,11.1,0,,,,4.2,ìÏêº
1992/1/28 21:00,8,2,10,,10.8,0,,0,,3.4,ìÏêº
1992/1/28 22:00,,,,,10.5,0,,,,2.8,ìÏêº
1992/1/28 23:00,,,,,10.5,0,,,,2.3,ìÏêº
1992/1/29 0:00,6,2,6,,8.9,0,,,,2.5,ìÏìÏêº
1993/1/28 1:00,,,,,4.5,0,,,,3,ñkêº
1993/1/28 2:00,,,,,4.2,0,,,,3.5,ñkêº
1993/1/28 3:00,2,2,20,,3.3,0,,,,2.1,êº
1993/1/28 4:00,,,,,2.6,0,,,,2.3,êº
1993/1/28 5:00,,,,,1.9,0,,,,2.9,êº
1993/1/28 6:00,0+,1,25,,1.6,0,,,,2.6,êº
1993/1/28 7:00,,,,0,1.7,0,,,,4.2,êº
1993/1/28 8:00,,,,0.11,1.9,0,,,0,4.2,êº
1993/1/28 9:00,10-,4,30,0.37,2.2,0,,0,0.1,5,êºìÏêº
1993/1/28 10:00,,,,1.05,3.6,0,,,0.6,3.5,êºìÏêº
1993/1/28 11:00,,,,1.54,5,0,,,0.9,3.2,êºñkêº
1993/1/28 12:00,9,4,25,1.55,5.2,0,,,0.5,3.9,êºñkêº
1993/1/28 13:00,,,,1.35,6,0,,,0.5,5,êºñkêº
1993/1/28 14:00,,,,1.41,5.5,0,,,0.6,3.6,êºñkêº
1993/1/28 15:00,2,2,30,1.27,6.3,0,,0,0.7,3.8,êº
1993/1/28 16:00,,,,0.89,5.4,0,,,0.9,5.4,êºñkêº
1993/1/28 17:00,,,,0.35,4.6,0,,,0.8,3.4,êº
1993/1/28 18:00,2,2,30,0.03,3.8,0,,,0,3.5,êºñkêº
1993/1/28 19:00,,,,,2.8,0,,,,3.2,êº
1993/1/28 20:00,,,,,2.4,0,,,,3.5,êº
1993/1/28 21:00,8,2,15,,2.3,0,,0,,3.2,êº
