date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction
1985/1/15 1:00,,,,,,0,,,,,
1985/1/15 2:00,,,,,,0,,,,,
1985/1/15 3:00,9,,,,-1.3,0,,,,6.7,êº
1985/1/15 4:00,,,,,,0,,,,,
1985/1/15 5:00,,,,,,0,,,,,
1985/1/15 6:00,9,,,,-1.1,0,,,,2.5,êº
1985/1/15 7:00,,,,,,0,,,,,
1985/1/15 8:00,,,,,,0,,,,,
1985/1/15 9:00,4,,,,0.7,0,,,,0.1,ê√â∏
1985/1/15 10:00,,,,,,0,,,,,
1985/1/15 11:00,,,,,,0,,,,,
1985/1/15 12:00,3,,,,3.3,0,,,,6.5,ìÏêº
1985/1/15 13:00,,,,,,0,,,,,
1985/1/15 14:00,,,,,,0,,,,,
1985/1/15 15:00,1,,,,4.7,0,,,,4.8,êºìÏêº
1985/1/15 16:00,,,,,,0,,,,,
1985/1/15 17:00,,,,,,0,,,,,
1985/1/15 18:00,0,,,,3.3,0,,,,2,êºìÏêº
1985/1/15 19:00,,,,,,0,,,,,
1985/1/15 20:00,,,,,,0,,,,,
1985/1/15 21:00,1,,,,1,0,,,,2.7,ìÏìÏìå
1985/1/15 22:00,,,,,,0,,,,,
1985/1/15 23:00,,,,,,0,,,,,
1985/1/16 0:00,10-,,,,2.4,0,,,,2.2,ìÏìÏìå
1986/1/15 1:00,,,,,,0,,,,,
1986/1/15 2:00,,,,,,0,,,,,
1986/1/15 3:00,10-,,,,5.3,0,,,,1.9,ñkêº
1986/1/15 4:00,,,,,,0,,,,,
1986/1/15 5:00,,,,,,0,,,,,
1986/1/15 6:00,3,,,,2.5,0,,,,0.8,ñkìå
1986/1/15 7:00,,,,,,0,,,,,
1986/1/15 8:00,,,,,,0,,,,,
1986/1/15 9:00,5,,,,4.9,0,,,,0.8,ìåìÏìå
1986/1/15 10:00,,,,,,0,,,,,
1986/1/15 11:00,,,,,,0,,,,,
1986/1/15 12:00,10-,,,,8.2,0,,,,0.9,ìÏìÏêº
1986/1/15 13:00,,,,,,0,,,,,
1986/1/15 14:00,,,,,,0,,,,,
1986/1/15 15:00,10-,,,,8.7,0,,,,1.5,ìÏêº
1986/1/15 16:00,,,,,,0,,,,,
1986/1/15 17:00,,,,,,0,,,,,
1986/1/15 18:00,10-,,,,6,0,,,,0.2,ê√â∏
1986/1/15 19:00,,,,,,0,,,,,
1986/1/15 20:00,,,,,,0,,,,,
1986/1/15 21:00,10-,,,,5.2,0,,,,2.4,ñkñkìå
1986/1/15 22:00,,,,,,0,,,,,
1986/1/15 23:00,,,,,,0,,,,,
1986/1/16 0:00,10-,,,,4.4,0,,,,1.7,ìåñkìå
1987/1/15 1:00,,,,,,0,,,,,
1987/1/15 2:00,,,,,,0,,,,,
1987/1/15 3:00,10,,,,5.5,0,,,,5.5,êº
1987/1/15 4:00,,,,,,0,,,,,
1987/1/15 5:00,,,,,,0,,,,,
1987/1/15 6:00,10,,,,5.6,0,,,,6.2,êº
1987/1/15 7:00,,,,,,0,,,,,
1987/1/15 8:00,,,,,,0,,,,,
1987/1/15 9:00,10-,,,,5.8,0,,,,1.9,ñkñkìå
1987/1/15 10:00,,,,,,0,,,,,
1987/1/15 11:00,,,,,,0,,,,,
1987/1/15 12:00,3,,,,9.8,0,,,,1.6,êº
1987/1/15 13:00,,,,,,0,,,,,
1987/1/15 14:00,,,,,,0,,,,,
1987/1/15 15:00,8,,,,10.4,0,,,,6.2,êºìÏêº
1987/1/15 16:00,,,,,,0,,,,,
1987/1/15 17:00,,,,,,0,,,,,
1987/1/15 18:00,0+,,,,9,0,,,,4,êºìÏêº
1987/1/15 19:00,,,,,,0,,,,,
1987/1/15 20:00,,,,,,0,,,,,
1987/1/15 21:00,0,,,,6.3,0,,,,1.4,ìåìÏìå
1987/1/15 22:00,,,,,,0,,,,,
1987/1/15 23:00,,,,,,0,,,,,
1987/1/16 0:00,0,,,,4.3,0,,,,0.3,ìÏìÏêº
1988/1/15 1:00,,,,,,0,,,,,
1988/1/15 2:00,,,,,,0,,,,,
1988/1/15 3:00,0,,,,5.4,0,,,,3.7,ñkìå
1988/1/15 4:00,,,,,,0,,,,,
1988/1/15 5:00,,,,,,0,,,,,
1988/1/15 6:00,6,,,,5.2,0,,,,2.4,ìåñkìå
1988/1/15 7:00,,,,,,0,,,,,
1988/1/15 8:00,,,,,,0,,,,,
1988/1/15 9:00,10-,,,,7.4,0,,,,4,ñkñkìå
1988/1/15 10:00,,,,,,0,,,,,
