É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/01/04 18:11:35

,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
îNåéì˙éû,â_ó (10ï™î‰),â_ó (10ï™î‰),â_ó (10ï™î‰),ìVãC,ìVãC,ìVãC,éãíˆ(km),éãíˆ(km),éãíˆ(km),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ì˙éÀó (MJ/áu),ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~ê·(cm),ç~ê·(cm),ç~ê·(cm),ç~ê·(cm),êœê·(cm),êœê·(cm),êœê·(cm),êœê·(cm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s),ïóë¨(m/s)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ïóå¸,ïóå¸,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,,ïiéøèÓïÒ,ãœéøî‘çÜ
1945/1/1 1:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 2:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 3:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 4:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 5:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 6:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 7:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 8:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 9:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 10:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 11:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0.0,0,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 12:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 13:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 14:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 15:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 16:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 17:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 18:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 19:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 20:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 21:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 22:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/1 23:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1945/1/2 00:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 1:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 2:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 3:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 4:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 5:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 6:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 7:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 8:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 9:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 10:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 11:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 12:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 13:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 14:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 15:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 16:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 17:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 18:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 19:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 20:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 21:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 22:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/1 23:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1946/1/2 00:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 1:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 2:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 3:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 4:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 5:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 6:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 7:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 8:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 9:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 10:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 11:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 12:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 13:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 14:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 15:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 16:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 17:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0.0,0,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 18:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0.0,0,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 19:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0.0,0,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 20:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0.0,0,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 21:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0.0,0,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 22:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0.0,0,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/1 23:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1947/1/2 00:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1948/1/1 1:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1948/1/1 2:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1948/1/1 3:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1948/1/1 4:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1948/1/1 5:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1948/1/1 6:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1948/1/1 7:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
1948/1/1 8:00:00,,0,1,,0,1,,0,1,,0,1,,0,1,0,1,8,1,,,0,1,,,0,1,,,0,1,,0,,0,1
