date,cloud,weather,visibility_km,solar,temperature_c,rainfall_mm,snowfall_cm,snowdepth_cm,sunshine_hours,windspeed_ms,wind_direction
1985/10/19 1:00,,,,,,0,,,,,
1985/10/19 2:00,,,,,,0,,,,,
1985/10/19 3:00,7,,,,11.6,0,,,,2.9,ñkñkêº
1985/10/19 4:00,,,,,,0,,,,,
1985/10/19 5:00,,,,,,0,,,,,
1985/10/19 6:00,10-,,,,10.8,0,,,,3.4,ñk
1985/10/19 7:00,,,,,,0,,,,,
1985/10/19 8:00,,,,,,0,,,,,
1985/10/19 9:00,7,,,,13.3,0,,,,3.6,ñk
1985/10/19 10:00,,,,,,0,,,,,
1985/10/19 11:00,,,,,,0,,,,,
1985/10/19 12:00,7,,,,17,0,,,,2.1,ñkìå
1985/10/19 13:00,,,,,,0,,,,,
1985/10/19 14:00,,,,,,0,,,,,
1985/10/19 15:00,7,,,,18.5,0,,,,3.6,ìÏ
1985/10/19 16:00,,,,,,0,,,,,
1985/10/19 17:00,,,,,,0,,,,,
1985/10/19 18:00,3,,,,17.7,0,,,,2.1,ìÏìÏìå
1985/10/19 19:00,,,,,,0,,,,,
1985/10/19 20:00,,,,,,0,,,,,
1985/10/19 21:00,5,,,,17,0,,,,1.3,ñkñkìå
1985/10/19 22:00,,,,,,0,,,,,
1985/10/19 23:00,,,,,,0,,,,,
1985/10/20 0:00,2,,,,13.9,0,,,,0.7,ñkñkêº
1986/10/19 1:00,,,,,,0,,,,,
1986/10/19 2:00,,,,,,0,,,,,
1986/10/19 3:00,8,,,,11.9,0,,,,4.9,ñkñkêº
1986/10/19 4:00,,,,,,0,,,,,
1986/10/19 5:00,,,,,,0,,,,,
1986/10/19 6:00,5,,,,9.7,0,,,,4.2,ñk
1986/10/19 7:00,,,,,,0,,,,,
1986/10/19 8:00,,,,,,0,,,,,
1986/10/19 9:00,1,,,,13.6,0,,,,5.9,ñkñkêº
1986/10/19 10:00,,,,,,0,,,,,
1986/10/19 11:00,,,,,,0,,,,,
1986/10/19 12:00,1,,,,16.7,0,,,,4.5,ñk
1986/10/19 13:00,,,,,,0,,,,,
1986/10/19 14:00,,,,,,0,,,,,
1986/10/19 15:00,9,,,,16.5,0,,,,3.8,ìåñkìå
1986/10/19 16:00,,,,,,0,,,,,
1986/10/19 17:00,,,,,,0,,,,,
1986/10/19 18:00,5,,,,13.7,0,,,,6.7,ñkìå
1986/10/19 19:00,,,,,,0,,,,,
1986/10/19 20:00,,,,,,0,,,,,
1986/10/19 21:00,1,,,,12,0,,,,5.2,ñk
1986/10/19 22:00,,,,,,0,,,,,
1986/10/19 23:00,,,,,,0,,,,,
1986/10/20 0:00,0+,,,,10.6,0,,,,5,ñk
1987/10/19 1:00,,,,,,0,,,,,
1987/10/19 2:00,,,,,,0,,,,,
1987/10/19 3:00,0+,,,,17.6,0,,,,0.5,ñkìå
1987/10/19 4:00,,,,,,0,,,,,
1987/10/19 5:00,,,,,,0,,,,,
1987/10/19 6:00,10-,,,,18.9,0,,,,2.6,êºìÏêº
1987/10/19 7:00,,,,,,0,,,,,
1987/10/19 8:00,,,,,,0,,,,,
1987/10/19 9:00,5,,,,23.8,0,,,,4.9,ìÏêº
1987/10/19 10:00,,,,,,0,,,,,
1987/10/19 11:00,,,,,,0,,,,,
1987/10/19 12:00,6,,,,25.3,0,,,,6.9,ìÏêº
1987/10/19 13:00,,,,,,0,,,,,
1987/10/19 14:00,,,,,,0,,,,,
1987/10/19 15:00,2,,,,26.5,0,,,,4.9,ìÏêº
1987/10/19 16:00,,,,,,0,,,,,
1987/10/19 17:00,,,,,,0,,,,,
1987/10/19 18:00,5,,,,22.8,0,,,,4.4,ñk
1987/10/19 19:00,,,,,,0,,,,,
1987/10/19 20:00,,,,,,0,,,,,
1987/10/19 21:00,9,,,,20.5,0,,,,4.9,ñk
1987/10/19 22:00,,,,,,0,,,,,
1987/10/19 23:00,,,,,,0,,,,,
1987/10/20 0:00,8,,,,19.1,0,,,,1.6,ñkñkìå
1988/10/19 1:00,,,,,,0,,,,,
1988/10/19 2:00,,,,,,0,,,,,
1988/10/19 3:00,10,,,,16.6,0,,,,3.1,ñk
1988/10/19 4:00,,,,,,0,,,,,
1988/10/19 5:00,,,,,,0,,,,,
1988/10/19 6:00,10-,,,,16.3,0,,,,5.2,ñk
1988/10/19 7:00,,,,,,0,,,,,
1988/10/19 8:00,,,,,,0,,,,,
1988/10/19 9:00,0+,,,,17.7,0,,,,4.1,ñkñkêº
1988/10/19 10:00,,,,,,0,,,,,
1988/10/19 11:00,,,,,,0,,,,,
1988/10/19 12:00,0+,,,,19.4,0,,,,4,ñk
1988/10/19 13:00,,,,,,0,,,,,
1988/10/19 14:00,,,,,,0,,,,,
1988/10/19 15:00,0,,,,20.3,0,,,,3.4,ñk
1988/10/19 16:00,,,,,,0,,,,,
1988/10/19 17:00,,,,,,0,,,,,
1988/10/19 18:00,0+,,,,17.6,0,,,,3.6,ìå
1988/10/19 19:00,,,,,,0,,,,,
